Description,Message
"Answering this question to Hitesh (boss):
@channel I will be in transit starting tomorrow, landing back in the bay area Friday afternoon. Hope all is going well, please let me know if we need to have a call in the next few hours","@Hitesh Shah I think we are good. Status wise:
@Shubh Garg implemented some changes to improve the speed of face-recognition process,  compressing the images (the main pain point was network I/O). @Federico Bogado worked with him to avoid major drawbacks on accuracy because of the resolution loss. This is a temporary solution; the real one will be moving the face detection step to the mobile app and sending out the embedded vectors instead of images.
Regarding the union-agent / CBA project: We met with @Rajendran Nair , we have a clear path, and a clearly defined MVP. In this message I briefly described it and below @Shreesha Ramdas approved it, so it seems we are good. https://lumberfi.slack.com/archives/C09G9MVFJ5Q/p1759248162314149?thread_ts=1759243904.373269&cid=C09G9MVFJ5Q"
Answer to my CEO: How’s the progress? When’s the next demo?,"We are working on extracting structured data from CBA documents (and optionally CBA + wage sheets). We have the requirements established, and one example pair of CBA and expected result from @Rajendran Nair (he’ll be sharing more examples when he has the chance). A good timeframe for a demo could be Friday next week."
"Anser to my ceo, he asked me if there are more Andrej Karpathy videos or articles he should read","@Shreesha Ramdas
Andrej Karpathy: Software Is Changing (Again) - https://www.youtube.com/watch?v=LCEmiRjPEtQ. Here he speaks about the evolution of software development, his “Software 3.0” concept. 40 min video full of useful timestamps, Jun 2025.
In this medium post he introduced his ""Software 2.0"" concept, how software development is affected by Neural Networks. Article from 2017! But still relevant, can serve as a complement to the video on the first bullet: https://karpathy.medium.com/software-2-0-a64152b37c35
In this youtube video he explains for a general audience how he uses LLMS - 2hs video, Feb 2025: https://www.youtube.com/watch?v=EWvNQjAaOHw&list=PLAqhIrjkxbuW9U8-vZ_s_cjKPT_FqRStI&index=3
In these 2 videos he introduces LLMs, still not too technical:
[1hr Talk] Intro to Large Language Models (the busy person intro to LLMs): https://www.youtube.com/watch?v=zjkBMFhNj_g
Deep Dive into LLMs like ChatGPT (3.5 hs video): https://www.youtube.com/watch?v=7xTGNNLPyMI
And finally, this is more technical content. I would recommend this playlist to any engineer who wants to start working in AI, is a fundamentals masterclass, and practical: for instance, he live codes GPT from scratch: https://www.youtube.com/watch?v=VMj-3S1tku0&list=PLAqhIrjkxbuWI23v9cThsA9GvCAUhRvKZ
Bonus:
Podcast with Lex Friedman, general talk about AI, Oct 2022, 3.5 hs video: https://www.youtube.com/watch?v=cdiD-9MMpb0"
Sharing status to boss,"Hi @Hitesh Shah , yes all good. We ended up not assigning tasks to @Himanshu Agrawal and @Chetan Kumar Soni , there were no testing tasks (or tasks we could really parallelize) yet where it was worth it for them switch from their current tasks (on Monday - Tuesday this could change).

An status report:

Onboarding project - payroll register / YTD extraction:
We met with Mel and Harish, really productive meeting, Mel solved a lot of questions, will work on some pending task on her side over the weekend.We have the new schema integrated in the pipeline, we are rn implementing changes from what we got from the meeting, and we should be able to start testing after implementing further changes based on the information Mel will deliver us on Monday.

Union agent- CBA:
Met with Harish and @Bhuvaneswari , she moved fast for us to have what we need. When Nitesh is online he will share lumber prod db credentials so we can have our much needed input - output pairs.

We also met with @Aheesh , we demo’d the union agent and shared future steps, he liked it and saw value on the report generation."
Sharing initiative to boss,"Also, we are ready to tackle the major pending our projects have until now: observability and evaluation, with a framework. Will try to finish the plan over the weekend and ask for the resources on Monday. Will tell you if we need your help on getting resources, but do not worry about this, one of the main ideas is to minimize the costs of this tool."
"Sharing project with team, asking for resources","hi @Nitesh Kumar! I'm here, and Federico will connect in half an hour.  I wanted to take the chance to mention something I already brought up with @Hitesh Shah last week:
CC: @Himanshu Agrawal @Chetan Kumar Soni 

We'll be adding MLflow (LLM observability tool) to k8s-deployment-playbook. Using existing infrastructure to keep costs down.

When you have a chance, I'll need a few things:
1. Database (on existing RDS, dev + prod only) QA/Stage will point to the dev instance.

CREATE DATABASE mlflow;
CREATE USER mlflow WITH ENCRYPTED PASSWORD '<password>';
GRANT ALL PRIVILEGES ON DATABASE mlflow TO mlflow;

2. S3 buckets
lumberfi-mlflow-artifacts-dev
lumberfi-mlflow-artifacts-prod
Versioning + lifecycle policies would be nice (for artifact cleanup over time)

3. Google OAuth credentials This is for login, so team members will sign in with their Google accounts instead of managing separate passwords.
Redirect URIs (these are the ""return addresses"" after Google login):
https://mlflow.lumberfi.com/oauth2/callback (prod)
https://mlflow-dev.lumberfi.com/oauth2/callback (dev)

4. DNS
mlflow.lumberfi.com → prod LB
mlflow-dev.lumberfi.com → dev LB

5. ECR repository (only if we end up building a custom image, might not need it)
lumberfi/mlflow

I'll push the vars files following the existing service pattern. Let me know if anything's unclear!"
"My cto asked

Can u give me some input on technology and architecture on ai side
[5:00 PM]Like which Ilm do we have any custom rag or llm built etc","LLMs: No custom/fine-tuned models. All foundation models via API: Claude, OpenAI. 

Why No own LLMs:We prioritized developing time and performance - accuracy, not costs.It doesn't make total sense for our current use cases. Might be overengineering. Fine-tuning is for when you need domain-specific behavior the base model can't handle with prompting alone. Our extraction tasks are solved with well structured prompts, schema enforcement, and validation loops on top of SOTA models. Fine-tuning would mean maintaining training infra, curating datasets, retraining on every model update, all for marginal gains we already get from better pipeline engineering (but might be worth experimenting with)

RAG: No custom RAG framework. OpenAI Assistants API + Vector Store. Standard chunking + reranking. Got the job done fast for internal docs.

Where the real engineering is currently in our projects:CV/LLM hybrid pipelines with heavy preprocessing (for instance in the paper timesheet extractor, we have OpenCV homography, SIFT, contour detection before hitting the model) garbage in, garbage out.Self-correcting agentic extraction loops (CBA Union Agent and Onboarding Payroll Register Extractor): LLM extracts → evaluator validates against source → fixes applied → re-validated. Multiple passes until output matches schema + source document.Token-aware batching to stay within context windows on large PDFs without losing cross-reference integrityFacial verification with pluggable backends (Rekognition, DeepFace/ArcFace, Qdrant vector search),  swappable.

Some additional stack details:Multi-provider routing through LiteLLM.Structured output via Instructor with Pydantic schema enforcement and retry loops.Introducing observability and evaluation framework (mlflow / or some alternative).[5:35 PM]Our Philosophy: SOTA models, well-engineered pipelines around them. We optimized for extraction accuracy and reliability, not cost. Prioritize simple approaches, fail fast. The complexity is in the orchestration, validation, and preprocessing, not in training models. (edited) 
[5:37 PM]tell me please if your question is answered"
answering mail to cto abot issue,"Hi Manish,

Our current pipeline runs face matching through AWS Rekognition, which doesnt include passive liveness detection natively.

We can leverage DeepFace, which is already part of our deployment to run an anti-spoofing check (MiniFASNet) as a pre-validation gate before the Rekognition call. Its a lightweight model that analyzes the verification image for presentation attack artifacts. No changes needed to enrollment,
reference images or the Rekognition pipeline, and nothing on the frontend side either.

Adjusting the match threshold wouldnt help here since the face is genuine, just displayed on a screen. Liveness detection should be the right layer for this.

Before commiting to a timeline we'd like to test this against the actual images from this to validate detection accuracy and latency in our
environment. Will reach out to tget the original images.

Franco"
answering cto,"Yes, we will benchmark how much latency this extra step adds to the pipeline, as well as how it affects the overall accuracy of the system. We want to make sure we dont end up flagging poor quality images or edge cases (bad lighting, weird angles etc) as spoofing attempts, so we'll need to tune the threshold carefully.

Also want to flag that even though this is a step in the right direction, the best solutions for anti-spoofing are when implemented on the camera side, or
working with video instead of a single image. These type of solutions are much better at catching spoofing attempts because its way harder to trick the
system when the detection is happening live on the camera while the picture is being taken. AWS actually has a product for exactly this purpose (Rekognition Face Liveness), but its not something we can just plug in on the backend, it needs to be connected to the camera/frontend itself.

For now we'll get the server-side check in place, ideally test it with the actual images from the incident, and report back with accuracy and performance metrics.

Franco"
Giving issue solving status,"@Manish Kumar @Hitesh Shah @Priya @Shubh Garg Status on the face recognition spoof issue:

Following yesterday's email, we have the MiniFASNet anti-spoof liveness check integrated and running. Tested it against the full Galindo dataset (all 9k images in prod from Galindo, the company that reported the issue).

Corrected results at different confidence thresholds (separating actual spoofs from false positives):

Threshold | Spoofs caught   | False positives | FP rate
0.50          | 53/53 (100%)    | 168                   | 1.79%
0.70          | 31/53 (58%)      | 69                     | 0.73%
0.85          | 20/53 (38%)      | 38                     | 0.40%
0.90          | 13/53 (25%)      | 24                     | 0.26%

For now we're going with 0.50. Raising the threshold kills detection: at 0.70 we miss 42% of confirmed spoofs, which defeats the purpose. The 1.79% false positive rate means roughly 1 in 56 clock-ins gets a false rejection, not ideal but within acceptable range per ISO 30107-3 (the international biometric anti-spoofing standard, which considers up to 5% acceptable for security-oriented deployments). The false positives are recoverable (employee retries or falls back to manual clock-in) but a missed spoof is not.

Also running a benchmark against a large industry-standard anti-spoofing dataset (~625K labeled images covering phone, tablet, print and mask attacks) to properly validate and lock in the final threshold. Should have full results tomorrow.

@Manish Kumar Performance: ~180ms p50, ~205ms mean per image. p95 is 321ms



Note on next steps: This current approach already improves the spoofing situation substantially and didn't require any changes on the client side. However as I mentioned in the email, the robust long-term solution is active liveness detection on the camera side (something like AWS Rekognition Face Liveness), which is more reliable than any backend-only analysis. That does require frontend integration (no special hardware, just the existing screen flashing and camera capturing a short video)."
